egid;xkoordinaten;ykoordinaten;wirtschaftseinheit;vermoegensart;aktuelle_nutzung;prio
;2610075.1;1228071;GE 005/3416/2;VV;Sonstiges;A
;2610951.6;1230253.3;GE 005/5426/23;FV;Sonstiges;C
;2610993.4;1229840.5;GE 005/5426/21;FV;Sonstiges;C
;2611014;1229780;GE 005/5426/19;FV;Sonstiges;C
;2611044.5;1230270;GE 005/5426/24;FV;Sonstiges;C
;2611218.7;1227176.1;GE 005/4408/1;AM;Sicherheit;
;2613152.8;1230661;GE 005/3406/25;VV;Sicherheit;A
;2613153.8;1230615;GE 005/3406/12;VV;Sicherheit;A
;2613201;1230626;GE 005/3406/3;VV;Sicherheit;A
;2613207;1230766;GE 005/3406/23;VV;Sicherheit;A
;2613217.3;1259504.3;GE 005/2911/8;VV;Sonstiges;B
;2613319.2;1230679.5;GE 005/3406/26;VV;Sicherheit;A
;2613545.3;1242177.2;GE 005/1509/2;VV;Sonstiges;B
;2613946;1246433;GE 005/5009/1;FV;Sonstiges;B
;2614275;1258809;GE 005/3912/1;VV;Sonstiges;B
;2615872.4;1258635.9;GE 005/3909/1;VV;;A
;2619193.7;1240369.8;GE 005/1510/5;VV;Bildung - HPSZ;A
;2619208.4;1240409.3;GE 005/1510/2;VV;Bildung - HPSZ;A
;2619292;1239353.9;GE 005/3515/2;VV;Verwaltung;A
;2619310.7;1240604.1;GE 005/3507/3;VV;Sicherheit;A
;2619343.4;1240600.5;GE 005/3507/4;VV;Sicherheit;A
;2619786;1238678;GE 005/3518/9;VV;Sonstiges;B
;2620445.2;1241341.5;GE 005/3511/1;FV;Sonstiges;A
;2621258.8;1237194.1;GE 005/3607/11;VV;Sicherheit;A
;2621282.1;1237181.1;GE 005/3607/3;VV;Sicherheit;A
;2621304.4;1237184.4;GE 005/3607/8;VV;;A
;2621910.4;1237806.4;GE 005/3609/2;FV;Sonstiges;C
;2627145;1242190.9;GE 005/2603/5;VV;Sonstiges;C
;2627182.4;1242177.3;GE 005/2603/9;VV;Sonstiges;C
;2627237.6;1242429.6;GE 005/2603/4;VV;Sonstiges;C
;2627259.6;1242226.6;GE 005/2603/2;VV;Sonstiges;C
;2627264.3;1242179.1;GE 005/2603/6;VV;;C
;2627308.3;1242252;GE 005/2603/8;VV;;C
;2627350.9;1242270.8;GE 005/2603/3;VV;Sonstiges;C
;2628061.2;1244664.3;GE 005/2714/14;FV;Sonstiges;
;2628263;1244623.9;GE 005/2714/12;FV;Sonstiges;
;2628345.4;1244680.1;GE 005/2714/3;FV;Sonstiges;
;2628356.3;1244654.1;GE 005/2714/2;FV;Sonstiges;
